的,的
是,是
不,不
我,我
一,一
有,有
大,大
在,在
人,人
了,了
中,中
到,到
資,资
要,要
以,以
可,可
這,这
個,个
你,你
會,会
好,好
為,为
上,上
來,来
學,学
就,就
交,交
也,也
用,用
能,能
如,如
時,时
文,文
說,说
沒,没
他,他
看,看
那,那
問,问
生,生
提,提
下,下
過,过
請,请
們,们
天,天
所,所
多,多
麼,么
小,小
之,之
想,想
得,得
工,工
出,出
還,还
電,电
對,对
都,都
機,机
自,自
而,而
子,子
後,后
訊,讯
家,家
站,站
心,心
只,只
去,去
知,知
國,国
很,很
台,台
成,成
信,信
同,同
何,何
章,章
道,道
發,发
地,地
法,法
無,无
然,然
但,但
當,当
於,于
嗎,吗
本,本
年,年
現,现
前,前
最,最
真,真
新,新
和,和
因,因
果,果
意,意
定,定
點,点
情,情
其,其
題,题
事,事
科,科
方,方
些,些
清,清
三,三
樣,样
此,此
吧,吧
位,位
作,作
理,理
行,行
者,者
經,经
名,名
什,什
謝,谢
日,日
正,正
開,开
話,话
與,与
實,实
愛,爱
再,再
華,华
二,二
城,城
動,动
比,比
面,面
高,高
又,又
或,或
力,力
應,应
女,女
種,种
教,教
車,车
分,分
像,像
系,系
長,长
手,手
次,次
已,已
明,明
打,打
太,太
路,路
起,起
己,己
相,相
主,主
關,关
十,十
間,间
鳳,凤
外,外
呢,呢
覺,觉
使,使
該,该
友,友
才,才
進,进
凰,凰
她,她
民,民
著,着
各,各
全,全
將,将
少,少
兩,两
加,加
回,回
感,感
式,式
第,第
球,球
性,性
老,老
程,程
把,把
被,被
公,公
論,论
及,及
龍,龙
校,校
別,别
體,体
重,重
給,给
聽,听
水,水
做,做
常,常
您,您
見,见
裡,里
東,东
風,风
解,解
灣,湾
月,月
等,等
啦,啦
部,部
原,原
美,美
先,先
音,音
通,通
管,管
網,网
區,区
期,期
錯,错
否,否
樂,乐
入,入
找,找
書,书
讓,让
四,四
啊,啊
由,由
選,选
較,较
數,数
表,表
內,内
場,场
它,它
從,从
快,快
歡,欢
至,至
立,立
目,目
社,社
合,合
望,望
怎,怎
認,认
告,告
更,更
幾,几
考,考
度,度
難,难
版,版
頭,头
喜,喜
許,许
光,光
今,今
買,买
算,算
弟,弟
若,若
統,统
身,身
記,记
代,代
號,号
處,处
完,完
接,接
計,计
言,言
字,字
師,师
並,并
政,政
玩,玩
張,张
男,男
誰,谁
山,山
每,每
結,结
且,且
星,星
非,非
建,建
改,改
連,连
放,放
哈,哈
活,活
研,研
直,直
設,设
陳,陈
報,报
轉,转
黨,党
指,指
五,五
變,变
氣,气
西,西
試,试
希,希
神,神
取,取
化,化
物,物
王,王
任,任
林,林
單,单
世,世
受,受
近,近
義,义
死,死
便,便
反,反
士,士
戰,战
空,空
隊,队
跟,跟
卻,却
北,北
必,必
業,业
功,功
寫,写
影,影
聲,声
平,平
臺,台
員,员
金,金
討,讨
色,色
則,则
容,容
檔,档
片,片
向,向
妳,妳
市,市
利,利
興,兴
白,白
強,强
安,安
央,央
特,特
議,议
辦,办
價,价
總,总
傳,传
思,思
花,花
元,元
叫,叫
保,保
份,份
求,求
究,究
呵,呵
件,件
未,未
決,决
組,组
萬,万
竹,竹
級,级
持,持
笑,笑
投,投
哪,哪
室,室
曾,曾
走,走
喔,喔
標,标
流,流
支,支
獨,独
貓,猫
卡,卡
需,需
兄,兄
門,门
共,共
語,语
海,海
口,口
阿,阿
線,线
馬,马
黃,黄
參,参
般,般
命,命
視,视
觀,观
聯,联
腦,脑
朋,朋
格,格
兒,儿
八,八
修,修
料,料
錢,钱
失,失
吃,吃
住,住
即,即
另,另
錄,录
專,专
象,象
換,换
基,基
板,板
拿,拿
遠,远
速,速
形,形
孩,孩
備,备
歌,歌
幫,帮
確,确
候,候
除,除
界,界
裝,装
類,类
講,讲
器,器
南,南
案,案
畫,画
英,英
訴,诉
帶,带
差,差
乎,乎
量,量
久,久
掉,掉
似,似
整,整
引,引
班,班
迷,迷
圖,图
制,制
費,费
賽,赛
奇,奇
識,识
型,型
超,超
邊,边
耶,耶
品,品
舍,舍
雖,虽
始,始
運,运
李,李
務,务
權,权
驗,验
故,故
六,六
讀,读
怪,怪
飛,飞
滿,满
服,服
夢,梦
收,收
眼,眼
造,造
念,念
留,留
課,课
軍,军
破,破
精,精
半,半
約,约
願,愿
令,令
底,底
答,答
演,演
達,达
雄,雄
深,深
票,票
早,早
院,院
夠,够
曲,曲
假,假
談,谈
術,术
棒,棒
賣,卖
黑,黑
百,百
勝,胜
推,推
存,存
火,火
準,准
示,示
往,往
碟,碟
易,易
況,况
晚,晚
離,离
治,治
導,导
七,七
段,段
團,团
調,调
證,证
列,列
傷,伤
永,永
剛,刚
排,排
哥,哥
德,德
九,九
甚,甚
殺,杀
照,照
軟,软
包,包
怕,怕
條,条
夜,夜
商,商
概,概
根,根
供,供
絕,绝
千,千
客,客
切,切
集,集
稱,称
據,据
落,落
越,越
竟,竟
盡,尽
待,待
聞,闻
園,园
忘,忘
值,值
產,产
消,消
雙,双
紅,红
座,座
展,展
育,育
跑,跑
附,附
嘛,嘛
執,执
唱,唱
技,技
某,某
硬,硬
斯,斯
雲,云
遊,游
息,息
助,助
須,须
苦,苦
介,介
效,效
首,首
質,质
例,例
唉,唉
職,职
復,复
輸,输
節,节
規,规
注,注
畢,毕
查,查
熱,热
油,油
館,馆
態,态
停,停
福,福
救,救
倒,倒
親,亲
害,害
亂,乱
古,古
步,步
寶,宝
擊,击
舉,举
終,终
嗯,嗯
印,印
限,限
依,依
斷,断
輕,轻
環,环
簡,简
趣,趣
志,志
響,响
隨,随
練,练
續,续
魚,鱼
篇,篇
司,司
局,局
送,送
極,极
角,角
省,省
源,源
陽,阳
幹,干
習,习
羅,罗
武,武
免,免
疑,疑
拉,拉
克,克
仍,仍
樓,楼
佛,佛
足,足
低,低
廣,广
煩,烦
鳥,鸟
顯,显
碼,码
土,土
率,率
聖,圣
壞,坏
初,初
具,具
預,预
呀,呀
眾,众
責,责
爭,争
兵,兵
智,智
誤,误
境,境
青,青
順,顺
野,野
楚,楚
貴,贵
負,负
壓,压
史,史
適,适
係,系
測,测
懷,怀
迎,迎
配,配
魔,魔
慢,慢
哇,哇
懂,懂
嗚,呜
亦,亦
味,味
評,评
舞,舞
細,细
醫,医
帝,帝
屬,属
句,句
戀,恋
敗,败
宜,宜
楊,杨
甲,甲
追,追
灌,灌
春,春
左,左
敢,敢
靈,灵
狂,狂
際,际
群,群
族,族
木,木
騎,骑
里,里
項,项
戲,戏
遇,遇
狗,狗
佳,佳
博,博
右,右
痛,痛
營,营
妹,妹
康,康
善,善
徵,征
歷,历
官,官
爾,尔
按,按
編,编
病,病
護,护
補,补
擇,择
抓,抓
石,石
歲,岁
隻,只
領,领
尋,寻
溫,温
養,养
止,止
守,守
君,君
血,血
田,田
雨,雨
居,居
謂,谓
異,异
優,优
跳,跳
拜,拜
爛,烂
封,封
惡,恶
良,良
模,模
狀,状
浪,浪
聊,聊
增,增
核,核
激,激
維,维
陸,陆
吳,吴
牛,牛
忙,忙
詞,词
劇,剧
宿,宿
急,急
啥,啥
抱,抱
靜,静
攻,攻
亞,亚
江,江
致,致
陣,阵
嚴,严
宗,宗
警,警
壘,垒
夫,夫
密,密
睡,睡
午,午
店,店
勢,势
悲,悲
蘭,兰
幕,幕
緣,缘
週,周
廠,厂
簽,签
坐,坐
香,香
爽,爽
控,控
微,微
登,登
翻,翻
普,普
蠻,蛮
冷,冷
威,威
毒,毒
俊,俊
絡,络
輯,辑
母,母
創,创
堂,堂
趙,赵
套,套
舊,旧
雜,杂
周,周
述,述
恐,恐
幸,幸
亮,亮
麗,丽
巴,巴
禮,礼
酒,酒
仁,仁
餐,餐
牌,牌
突,突
腳,脚
劍,剑
招,招
吉,吉
父,父
仔,仔
典,典
搞,搞
房,房
素,素
防,防
授,授
充,充
草,草
暴,暴
慮,虑
紹,绍
背,背
劉,刘
委,委
府,府
景,景
憶,忆
尤,尤
諸,诸
缺,缺
援,援
漫,漫
琴,琴
罵,骂
純,纯
尚,尚
藝,艺
惜,惜
置,置
益,益
姐,姐
誠,诚
繼,继
湖,湖
欲,欲
麻,麻
靠,靠
肉,肉
松,松
刻,刻
紀,纪
退,退
既,既
含,含
判,判
釋,释
皮,皮
波,波
承,承
射,射
堆,堆
莫,莫
製,制
鍵,键
趕,赶
旁,旁
筆,笔
扁,扁
註,注
奏,奏
樹,树
律,律
鐵,铁
榮,荣
昨,昨
毛,毛
彩,彩
歸,归
虎,虎
罪,罪
皆,皆
葉,叶
售,售
彈,弹
衛,卫
施,施
銘,铭
刀,刀
塊,块
漢,汉
欣,欣
布,布
賞,赏
載,载
險,险
播,播
升,升
鐘,钟
寄,寄
弄,弄
付,付
構,构
囉,啰
磁,磁
螢,萤
偉,伟
薦,荐
洋,洋
嘿,嘿
啟,启
梅,梅
策,策
嘻,嘻
燈,灯
鬼,鬼
檢,检
宣,宣
哦,哦
媽,妈
均,均
派,派
豬,猪
濟,济
架,架
享,享
